epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7283,1.32454,2.5415,1.3745,0.51681,0.51893,0.3022,0.19634,1.25525,1.73995,1.27476,0.000166317,0.000166317,0.000166317
2,144.964,1.15164,1.46313,1.23884,0.34754,0.60013,0.3246,0.20028,1.24833,1.56313,1.26771,0.00032639,0.00032639,0.00032639
3,214.149,1.1145,1.31846,1.21551,0.36511,0.66586,0.36152,0.21597,1.27071,1.44072,1.29017,0.000479864,0.000479864,0.000479864
